	name	episode	season	chapter	month	day_month	day_week
0	Big Brother (US)	19	31	s19e31	9-2017	1	Friday
1	Project Runway	16	03	s16e03	9-2017	1	Friday
2	Ice Road Truckers	11	02	s11e02	9-2017	1	Friday
3	Impractical Jokers	06	21	s06e21	9-2017	1	Friday
4	The Night Shift	04	10	s04e10	9-2017	1	Friday
5	Girlfriends Guide to Divorce	04	03	s04e03	9-2017	1	Friday
6	Zoo	03	10	s03e10	9-2017	1	Friday
7	The Guest Book	01	06	s01e06	9-2017	1	Friday
8	The Daily Show	22	148	s22e148	9-2017	1	Friday
9	The President Show	01	15	s01e15	9-2017	1	Friday
10	What Would Diplo Do?	01	05	s01e05	9-2017	1	Friday
11	Only Connect	13	06	s13e06	9-2017	1	Friday
12	Teen Titans Go!	04	31	s04e31	9-2017	1	Friday
13	We Bare Bears	03	21	s03e21	9-2017	1	Friday
14	We Bare Bears	03	22	s03e22	9-2017	1	Friday
15	Disjointed	01	08	s01e08	9-2017	1	Friday
16	Dragons: Riders of Berk	07	08	s07e08	9-2017	1	Friday
17	Bering Sea Gold	09	04	s09e04	9-2017	2	Saturday
18	Room 104	01	06	s01e06	9-2017	2	Saturday
19	Spider-Man	01	04	s01e04	9-2017	2	Saturday
20	Spider-Man	01	05	s01e05	9-2017	2	Saturday
21	Transformers: Robots in Disguise	04	16	s04e16	9-2017	2	Saturday
22	Justice League Action	01	34	s01e34	9-2017	2	Saturday
23	My Little Pony	07	17	s07e17	9-2017	2	Saturday
24	Casualty	32	03	s32e03	9-2017	2	Saturday
25	Narcos	03	02	s03e02	9-2017	2	Saturday
26	Disjointed	01	09	s01e09	9-2017	2	Saturday
27	Dragons: Riders of Berk	07	09	s07e09	9-2017	2	Saturday
28	Cold Justice	04	06	s04e06	9-2017	3	Sunday
29	Teenage Mutant Ninja Turtles	05	10	s05e10	9-2017	3	Sunday
30	The X Factor (UK)	14	02	s14e02	9-2017	3	Sunday
31	Victoria	02	02	s02e02	9-2017	3	Sunday
32	Strike	01	03	s01e03	9-2017	3	Sunday
33	Get Shorty	01	05	s01e05	9-2017	3	Sunday
34	Narcos	03	03	s03e03	9-2017	3	Sunday
35	Dragons: Riders of Berk	07	10	s07e10	9-2017	3	Sunday
36	Big Brother (US)	19	32	s19e32	9-2017	4	Monday
37	Top Gear America	01	06	s01e06	9-2017	4	Monday
38	Teen Wolf	06	16	s06e16	9-2017	4	Monday
39	The Last Ship	04	04	s04e04	9-2017	4	Monday
40	Twin Peaks	03	17	s03e17	9-2017	4	Monday
41	Chesapeake Shores	02	05	s02e05	9-2017	4	Monday
42	The Strain	04	08	s04e08	9-2017	4	Monday
43	Survivors Remorse	04	03	s04e03	9-2017	4	Monday
44	Ballers	03	07	s03e07	9-2017	4	Monday
45	Insecure	02	07	s02e07	9-2017	4	Monday
46	Teen Titans Go!	04	32	s04e32	9-2017	4	Monday
47	Narcos	03	04	s03e04	9-2017	4	Monday
48	Dragons: Riders of Berk	07	11	s07e11	9-2017	4	Monday
49	American Ninja Warrior	09	13	s09e13	9-2017	5	Tuesday
50	So You Think You Can Dance	14	12	s14e12	9-2017	5	Tuesday
51	American Dad!	13	21	s13e21	9-2017	5	Tuesday
52	Preacher	02	12	s02e12	9-2017	5	Tuesday
53	People of Earth	02	07	s02e07	9-2017	5	Tuesday
54	19-2	04	06	s04e06	9-2017	5	Tuesday
55	Midnight, Texas	01	07	s01e07	9-2017	5	Tuesday
56	The Great British Bake Off	08	02	s08e02	9-2017	5	Tuesday
57	Holby City	19	48	s19e48	9-2017	5	Tuesday
58	Quacks	01	04	s01e04	9-2017	5	Tuesday
59	Narcos	03	05	s03e05	9-2017	5	Tuesday
60	Dragons: Riders of Berk	07	12	s07e12	9-2017	5	Tuesday
